"27","Instrument","Aria Family","EU","Best practices for Sorting","option","EN","2","Remote","1200","https://bdfacsuniversity.csod.com/default.aspx?p=bdfacsuniversity&c=%5e%5e%5eI9EaGYTOoYTdEihubEGoWXWb4ALzxUYuH7NMHtmOrQM%3d&dlink=%2fDeepLink%2fProcessRedirect.aspx%3fmodule%3dlodetails%26lo%3dbc3c2f0d-6be8-4893-ad82-2154b7cc9d2f","27"
"28","Instrument","Melody","FR","Formation recherche - BD FACSMelody™","classical","FR","2j","Sur site","2920","https://bdfacsuniversity.csod.com/default.aspx?p=bdfacsuniversity&c=%5e%5e%5eJv3EjEG9gRU9J3HyXNsNf9%2bjpuKC%2fQHkRLbHlElPHQo%3d&dlink=%2fDeepLink%2fProcessRedirect.aspx%3fmodule%3dlodetails%26lo%3d26c5240a-462e-46e8-b6c2-c9eec6d2c4e1"," "
"29","Instrument","Melody","FR","Formation recherche - BD FACSMelody™ Essentiel","Essential","FR","1j","Sur site","1480","https://bdfacsuniversity.csod.com/default.aspx?p=bdfacsuniversity&c=%5e%5e%5eJv3EjEG9gRU9J3HyXNsNf9%2bjpuKC%2fQHkRLbHlElPHQo%3d&dlink=%2fDeepLink%2fProcessRedirect.aspx%3fmodule%3dlodetails%26lo%3de9b9458e-2f7f-453c-b446-6d96894d245d"," "
"30","Instrument","Melody","EU","Operator Training (BD FACSMelody™)","classical","EN","2","BD Erembodegen","1800","https://bdfacsuniversity.csod.com/default.aspx?p=bdfacsuniversity&c=%5e%5e%5eI9EaGYTOoYTdEihubEGoWXWb4ALzxUYuH7NMHtmOrQM%3d&dlink=%2fDeepLink%2fProcessRedirect.aspx%3fmodule%3dlodetails%26lo%3d2ad812da-fa16-416a-90bf-e73c693d2f25"," "
"31","Instrument","S8","EU","Operator Course (BD FACSDiscover S8)","classical","EN","4","BD Erembodegen","3600","https://bdfacsuniversity.csod.com/default.aspx?p=bdfacsuniversity&c=%5e%5e%5eI9EaGYTOoYTdEihubEGoWXWb4ALzxUYuH7NMHtmOrQM%3d&dlink=%2fDeepLink%2fProcessRedirect.aspx%3fmodule%3dlodetails%26lo%3d74c21dcf-d53b-4a70-97e4-1ffeb13ae7b9","32"
"32","Instrument","S8, A8","EU","Spectral flow cytometry virtual training for BD FACSChorus™ instrument users","option","EN","2","Remote","1200","https://bdfacsuniversity.csod.com/default.aspx?p=bdfacsuniversity&c=%5e%5e%5eI9EaGYTOoYTdEihubEGoWXWb4ALzxUYuH7NMHtmOrQM%3d&dlink=%2fDeepLink%2fProcessRedirect.aspx%3fmodule%3dlodetails%26lo%3d08e1781d-3c92-4b5d-8eb2-c8b5de493eab"," "
"33","Instrument","A8","EU","Operator Course (BD FACSDiscover A8)","classical","EN","4","BD Erembodegen","3600","page FACSuniversity non encore dispo ??","32"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","AJOUT DESCRIPTIF(notes du devis)","","",""
"","","","","","","","","Logique frais de déplacement","","",""
